,nome,checklist,percentage_equal,accuracy,precision,recall,f1_score,confusion_matrix,num
0,det_00041_15-01-2025,Contratti,40.0,0.4,0.5,0.4,0.31,"[[0 3 0]
 [0 3 0]
 [0 3 1]]",0
1,det_00062_17-01-2025,Determine,83.33333333333334,0.8333333333333334,0.7833333333333333,0.8333333333333334,0.7925925925925926,"[[0 1 0]
 [0 8 0]
 [0 1 2]]",1
2,det_00427_28-02-2025,Determine,75.0,0.75,0.7348484848484849,0.75,0.6864035087719298,"[[0 1 0]
 [0 8 0]
 [0 2 1]]",2
