,Determina,Modello,Temperature,Checklist,Municipality,determina_in,accuracy,precision,recall,f1_score,balanced_accuracy,confusion_matrix
89,det_00427_28-02-2025,llama-3.2-3B,0.0,Determine,Lucca,system,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875598,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 2, 0]]"
90,det_00041_15-01-2025,llama-3.2-3B,0.01,Contratti,Lucca,system,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3333333333333333,"[[0, 3, 0], [0, 3, 0], [0, 3, 0]]"
91,det_00062_17-01-2025,llama-3.2-3B,0.01,Determine,Lucca,system,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875598,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 2, 0]]"
92,det_00427_28-02-2025,llama-3.2-3B,0.01,Determine,Lucca,system,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875598,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 2, 0]]"
93,det_00041_15-01-2025,llama-3.2-3B,0.2,Contratti,Lucca,system,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3333333333333333,"[[0, 3, 0], [0, 3, 0], [0, 3, 0]]"
94,det_00062_17-01-2025,llama-3.2-3B,0.2,Determine,Lucca,system,0.6363636363636364,0.509090909090909,0.6363636363636364,0.5656565656565656,0.2916666666666667,"[[0, 1, 0], [1, 7, 0], [0, 2, 0]]"
95,det_00427_28-02-2025,llama-3.2-3B,0.2,Determine,Lucca,system,0.7272727272727273,0.5818181818181819,0.7272727272727273,0.6464646464646464,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [1, 1, 0]]"
96,det_00041_15-01-2025,llama-3.2-3B,0.4,Contratti,Lucca,system,0.2222222222222222,0.08333333333333333,0.2222222222222222,0.1212121212121212,0.2222222222222222,"[[0, 3, 0], [1, 2, 0], [0, 3, 0]]"
97,det_00062_17-01-2025,llama-3.2-3B,0.4,Determine,Lucca,system,0.6363636363636364,0.509090909090909,0.6363636363636364,0.5656565656565656,0.2916666666666667,"[[0, 1, 0], [1, 7, 0], [0, 2, 0]]"
98,det_00427_28-02-2025,llama-3.2-3B,0.4,Determine,Lucca,system,0.7272727272727273,0.5818181818181819,0.7272727272727273,0.6464646464646464,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 1, 0]]"
99,det_00041_15-01-2025,llama-3.2-3B,0.5,Contratti,Lucca,system,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3333333333333333,"[[0, 3, 0], [0, 3, 0], [0, 3, 0]]"
100,det_00062_17-01-2025,llama-3.2-3B,0.5,Determine,Lucca,system,0.6363636363636364,0.5656565656565656,0.6363636363636364,0.5989304812834224,0.2916666666666667,"[[0, 1, 0], [1, 7, 0], [0, 1, 0]]"
101,det_00427_28-02-2025,llama-3.2-3B,0.5,Determine,Lucca,system,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875598,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 2, 0]]"
102,det_00041_15-01-2025,llama-3.2-3B,0.6,Contratti,Lucca,system,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.25925925925925924,0.3333333333333333,"[[1, 2, 0], [1, 2, 0], [1, 2, 0]]"
103,det_00062_17-01-2025,llama-3.2-3B,0.6,Determine,Lucca,system,0.6363636363636364,0.5656565656565656,0.6363636363636364,0.5989304812834224,0.2916666666666667,"[[0, 1, 0], [1, 7, 0], [1, 1, 0]]"
104,det_00427_28-02-2025,llama-3.2-3B,0.6,Determine,Lucca,system,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875598,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 2, 0]]"
105,det_00041_15-01-2025,llama-3.2-3B,0.8,Contratti,Lucca,system,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3333333333333333,"[[0, 3, 0], [0, 3, 0], [0, 3, 0]]"
106,det_00062_17-01-2025,llama-3.2-3B,0.8,Determine,Lucca,system,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.25,"[[0, 1, 0], [2, 6, 0], [0, 1, 0]]"
107,det_00427_28-02-2025,llama-3.2-3B,0.8,Determine,Lucca,system,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875598,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 2, 0]]"
108,det_00041_15-01-2025,llama-3.2-3B,1.0,Contratti,Lucca,system,0.2222222222222222,0.09523809523809523,0.2222222222222222,0.13333333333333336,0.2222222222222222,"[[0, 3, 0], [1, 2, 0], [1, 2, 0]]"
109,det_00062_17-01-2025,llama-3.2-3B,1.0,Determine,Lucca,system,0.5454545454545454,0.4848484848484848,0.5454545454545454,0.5133689839572193,0.25,"[[0, 1, 0], [2, 6, 0], [0, 2, 0]]"
110,det_00427_28-02-2025,llama-3.2-3B,1.0,Determine,Lucca,system,0.7272727272727273,0.7474747474747474,0.7272727272727273,0.7201426024955436,0.4583333333333333,"[[0, 1, 0], [1, 7, 0], [0, 1, 1]]"
111,DET_DETE_345_2025,llama-3.2-3B,0.0,Affidamento Diretto,Olbia,system,0.7083333333333334,0.625968992248062,0.7083333333333334,0.6646090534979424,0.2982456140350877,"[[0, 5, 0], [2, 34, 0], [0, 4, 0]]"
112,DET_DETE_345_2025,llama-3.2-3B,0.01,Affidamento Diretto,Olbia,system,0.7083333333333334,0.625968992248062,0.7083333333333334,0.6646090534979424,0.2982456140350877,"[[0, 5, 0], [2, 34, 0], [0, 4, 0]]"
113,DET_DETE_345_2025,llama-3.2-3B,0.2,Affidamento Diretto,Olbia,system,0.6666666666666666,0.6178861788617886,0.6666666666666666,0.6413502109704642,0.2807017543859649,"[[0, 5, 0], [3, 32, 0], [0, 4, 0]]"
114,DET_DETE_345_2025,llama-3.2-3B,0.4,Affidamento Diretto,Olbia,system,0.7083333333333334,0.6117424242424242,0.7083333333333334,0.6565040650406504,0.2982456140350877,"[[0, 6, 0], [1, 34, 0], [0, 4, 0]]"
115,DET_DETE_345_2025,llama-3.2-3B,0.5,Affidamento Diretto,Olbia,system,0.7083333333333334,0.6117424242424242,0.7083333333333334,0.6565040650406504,0.2982456140350877,"[[0, 6, 0], [2, 34, 0], [0, 4, 0]]"
116,DET_DETE_345_2025,llama-3.2-3B,0.6,Affidamento Diretto,Olbia,system,0.6666666666666666,0.6178861788617886,0.6666666666666666,0.6413502109704642,0.2807017543859649,"[[0, 5, 0], [4, 32, 0], [0, 4, 0]]"
117,DET_DETE_345_2025,llama-3.2-3B,0.8,Affidamento Diretto,Olbia,system,0.6458333333333334,0.6135416666666667,0.6458333333333334,0.6292735042735043,0.2719298245614035,"[[0, 5, 0], [5, 31, 0], [0, 4, 0]]"
118,DET_DETE_345_2025,llama-3.2-3B,1.0,Affidamento Diretto,Olbia,system,0.7083333333333334,0.6843749999999998,0.7083333333333334,0.694871794871795,0.3450292397660819,"[[1, 4, 0], [2, 33, 0], [1, 3, 0]]"
119,det_00041_15-01-2025,llama-3.1-70B,0.0,Contratti,Lucca,system,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3333333333333333,"[[0, 3, 0], [0, 3, 0], [0, 3, 0]]"
120,det_00062_17-01-2025,llama-3.1-70B,0.0,Determine,Lucca,system,0.7272727272727273,0.7474747474747474,0.7272727272727273,0.7201426024955436,0.4583333333333333,"[[0, 1, 0], [0, 7, 0], [0, 1, 1]]"
121,det_00427_28-02-2025,llama-3.1-70B,0.0,Determine,Lucca,system,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875598,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 2, 0]]"
122,det_00041_15-01-2025,llama-3.1-70B,0.01,Contratti,Lucca,system,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3333333333333333,"[[0, 3, 0], [0, 3, 0], [0, 3, 0]]"
123,det_00062_17-01-2025,llama-3.1-70B,0.01,Determine,Lucca,system,0.7272727272727273,0.7474747474747474,0.7272727272727273,0.7201426024955436,0.4583333333333333,"[[0, 1, 0], [0, 7, 0], [0, 1, 1]]"
124,det_00427_28-02-2025,llama-3.1-70B,0.01,Determine,Lucca,system,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875598,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 2, 0]]"
125,det_00041_15-01-2025,llama-3.1-70B,0.2,Contratti,Lucca,system,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3333333333333333,"[[0, 3, 0], [0, 3, 0], [0, 3, 0]]"
126,det_00062_17-01-2025,llama-3.1-70B,0.2,Determine,Lucca,system,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875598,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 2, 0]]"
127,det_00427_28-02-2025,llama-3.1-70B,0.2,Determine,Lucca,system,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875598,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 2, 0]]"
128,det_00041_15-01-2025,llama-3.1-70B,0.4,Contratti,Lucca,system,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3333333333333333,"[[0, 3, 0], [0, 3, 0], [0, 3, 0]]"
