,nome,checklist,percentage_equal,accuracy,precision,recall,f1_score,confusion_matrix,num
0,det_00041_15-01-2025,Contratti,20.0,0.2,0.17619047619047618,0.2,0.1742857142857143,"[[0 3 0]
 [0 1 2]
 [0 3 1]]",0
1,det_00062_17-01-2025,Determine,33.33333333333333,0.3333333333333333,0.7348484848484849,0.3333333333333333,0.2552910052910053,"[[0 0 1]
 [0 1 7]
 [0 0 3]]",1
2,det_00427_28-02-2025,Determine,33.33333333333333,0.3333333333333333,0.5,0.3333333333333333,0.32575757575757575,"[[0 0 1]
 [0 2 6]
 [0 1 2]]",2
